town,year,bike_inj,bike_fat,bike_tot,ped_inj,ped_fat,ped_tot
Dedham,2013,0,0,0,6,0,6
Dover,2013,1,0,1,0,0,0
Essex,2013,0,0,0,0,0,0
Everett,2013,8,0,12,8,1,16
Foxborough,2013,2,0,2,8,0,8
Framingham,2013,6,0,7,5,0,5
Franklin,2013,3,0,4,5,0,5
Gloucester,2013,0,0,0,1,0,2
Hamilton,2013,3,0,4,1,0,1
Hingham,2013,1,0,1,4,0,6
Holbrook,2013,0,0,0,2,0,3
Holliston,2013,2,0,1,1,0,1
Hopkinton,2013,2,1,5,1,0,2
Hudson,2013,2,0,2,10,0,10
Hull,2013,5,0,7,4,0,4
Ipswich,2013,1,0,1,0,0,0
Lexington,2013,6,0,9,6,0,6
Lincoln,2013,3,0,3,0,0,0
Littleton,2013,1,0,1,0,0,0
Lynn,2013,19,0,33,72,2,90
Lynnfield,2013,0,0,0,3,0,3
Malden,2013,7,0,10,17,2,31
Manchester,2013,0,0,0,0,0,0
Marblehead,2013,1,0,3,3,0,5
Marlborough,2013,8,0,8,14,0,15
Marshfield,2013,3,0,6,1,0,2
Maynard,2013,0,0,1,0,0,1
Medfield,2013,2,0,2,0,0,0
Medford,2013,11,0,17,12,1,19
Medway,2013,0,0,0,0,0,2
Melrose,2013,3,0,3,5,1,7
Middleton,2013,0,0,0,2,0,2
Milford,2013,3,0,6,12,0,14
Millis,2013,0,0,0,0,0,0
Milton,2013,3,0,3,4,1,6
Nahant,2013,0,0,0,0,0,0
Natick,2013,10,0,15,5,0,5
Needham,2013,1,0,1,2,0,2
Newton,2013,22,0,31,37,1,45
Norfolk,2013,0,0,0,1,0,1
North Reading,2013,0,0,0,0,0,0
Norwell,2013,1,0,1,0,0,0
Norwood,2013,3,0,3,6,0,11
Peabody,2013,3,0,3,13,2,16
Quincy,2013,13,0,16,54,0,68
Randolph,2013,0,0,0,0,1,1
Reading,2013,3,0,3,0,0,0
Revere,2013,10,0,14,17,1,23
Rockland,2013,0,0,0,0,1,1
Rockport,2013,0,0,0,0,0,0
Salem,2013,12,0,15,7,2,10
Saugus,2013,3,0,3,16,1,17
Scituate,2013,0,0,0,1,0,3
Sharon,2013,4,0,5,0,0,0
